base_id,condition,hop_depth,error_type,final_correct,final_absurd,max_probe_score,mean_probe_score,fired_at_least_once,n_interventions
2hop_fractions_0034,replace_prior,2,wrong_percentage_base,False,False,0.0139858534500778,0.0118268295722862,False,1
2hop_fractions_0034,branch_and_pick,2,wrong_percentage_base,False,False,0.9999999998211092,0.5069929266355935,True,1
4hop_multi_stage_geometry_4_0004,baseline,4,wrong_percentage_base,True,False,0.9977545257923474,0.97629272275685,True,0
4hop_multi_stage_geometry_4_0004,reprompt,4,wrong_percentage_base,False,False,0.9977545257923474,0.97629272275685,True,3
4hop_multi_stage_geometry_4_0004,replace_prior,4,wrong_percentage_base,False,False,0.9996026432393618,0.9728398592837532,True,2
4hop_multi_stage_geometry_4_0004,branch_and_pick,4,wrong_percentage_base,False,False,0.9935827909117252,0.9501773466554224,True,3
4hop_multi_stage_allocation_0011,baseline,4,wrong_operator,False,False,0.9999999977789278,0.7511531318834525,True,0
4hop_multi_stage_allocation_0011,reprompt,4,wrong_operator,False,False,0.9999999977789278,0.7511531318834525,True,3
4hop_multi_stage_allocation_0011,replace_prior,4,wrong_operator,False,False,0.0106579279190389,0.0088868687961545,False,1
4hop_multi_stage_allocation_0011,branch_and_pick,4,wrong_operator,False,False,0.999999990328942,0.7511884089349685,True,3
4hop_compound_interest_0016,baseline,4,wrong_operator,False,False,0.9999999999966604,0.7499601285219603,True,0
4hop_compound_interest_0016,reprompt,4,wrong_operator,False,False,0.9999999999966604,0.7499601285219603,True,3
4hop_compound_interest_0016,replace_prior,4,wrong_operator,False,False,0.0544064197853477,0.0147720926071346,False,1
4hop_compound_interest_0016,branch_and_pick,4,wrong_operator,False,False,0.999999999991001,0.7499254816435528,True,3
2hop_counting_0001,baseline,2,wrong_operator,False,False,0.9999998635051288,0.5007352593255913,True,0
2hop_counting_0001,reprompt,2,wrong_operator,False,False,0.9999998635051288,0.5007352593255913,True,1
2hop_counting_0001,replace_prior,2,wrong_operator,False,False,0.0049306109214762,0.0032006330337649,False,1
2hop_counting_0001,branch_and_pick,2,wrong_operator,True,True,0.9999998309532322,0.5007352430496429,True,1
